Series Name,Series Code,Country Name,cca3,density_2020
Population density (people per sq. km of land area),EN.POP.DNST,United Arab Emirates,ARE,130.770050689946
Population density (people per sq. km of land area),EN.POP.DNST,United Kingdom,GBR,277.27538544207
Population density (people per sq. km of land area),EN.POP.DNST,United States,USA,36.2409851083694
Population density (people per sq. km of land area),EN.POP.DNST,Uruguay,URY,19.5925379956576
Population density (people per sq. km of land area),EN.POP.DNST,Uzbekistan,UZB,77.6853511857483
Population density (people per sq. km of land area),EN.POP.DNST,Vanuatu,VUT,25.5689089417555
Population density (people per sq. km of land area),EN.POP.DNST,"Venezuela, RB",VEN,32.3002698259736
Population density (people per sq. km of land area),EN.POP.DNST,Vietnam,VNM,308.359102061392
Population density (people per sq. km of land area),EN.POP.DNST,Virgin Islands (U.S.),VIR,303.685714285714
Population density (people per sq. km of land area),EN.POP.DNST,West Bank and Gaza,PSE,797.885215946844
Population density (people per sq. km of land area),EN.POP.DNST,"Yemen, Rep.",YEM,61.14750080497
Population density (people per sq. km of land area),EN.POP.DNST,Zambia,ZMB,25.4613527219898
Population density (people per sq. km of land area),EN.POP.DNST,Zimbabwe,ZWE,40.5057929430012
Population density (people per sq. km of land area),EN.POP.DNST,Africa Eastern and Southern,AFE,46.1507105506524
Population density (people per sq. km of land area),EN.POP.DNST,Africa Western and Central,AFW,51.5366792865574
Population density (people per sq. km of land area),EN.POP.DNST,Arab World,ARB,34.2907992634507
Population density (people per sq. km of land area),EN.POP.DNST,Caribbean small states,CSS,18.3889539335556
Population density (people per sq. km of land area),EN.POP.DNST,Central Europe and the Baltics,CEB,92.4702878927427
Population density (people per sq. km of land area),EN.POP.DNST,Early-demographic dividend,EAR,101.322968635572
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific,EAS,96.4641506190249
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (excluding high income),EAP,132.081920461241
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (IDA & IBRD countries),TEA,131.457659668976
Population density (people per sq. km of land area),EN.POP.DNST,Euro area,EMU,127.953871829812
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia,ECS,33.6362250988367
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (excluding high income),ECA,17.8961544606378
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (IDA & IBRD countries),TEC,20.0978636869976
Population density (people per sq. km of land area),EN.POP.DNST,European Union,EUU,112.022522067025
Population density (people per sq. km of land area),EN.POP.DNST,Fragile and conflict affected situations,FCS,47.8873994860873
Population density (people per sq. km of land area),EN.POP.DNST,Heavily indebted poor countries (HIPC),HPC,43.2109696986377
Population density (people per sq. km of land area),EN.POP.DNST,High income,HIC,35.2303172863431
Population density (people per sq. km of land area),EN.POP.DNST,IBRD only,IBD,68.4957878756614
Population density (people per sq. km of land area),EN.POP.DNST,IDA & IBRD total,IBT,68.9743735847058
Population density (people per sq. km of land area),EN.POP.DNST,IDA blend,IDB,132.882011896128
Population density (people per sq. km of land area),EN.POP.DNST,IDA only,IDX,57.0474517980506
Population density (people per sq. km of land area),EN.POP.DNST,IDA total,IDA,70.3333926717316
Population density (people per sq. km of land area),EN.POP.DNST,Late-demographic dividend,LTE,52.0018368833299
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean,LCN,32.4634779814142
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean (excluding high income),LAC,32.4211391733649
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & the Caribbean (IDA & IBRD countries),TLA,31.8719098809088
Population density (people per sq. km of land area),EN.POP.DNST,Least developed countries: UN classification,LDC,52.6393001286885
Population density (people per sq. km of land area),EN.POP.DNST,Low & middle income,LMY,69.7988294812648
Population density (people per sq. km of land area),EN.POP.DNST,Low income,LIC,42.3945722290042
